model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
0,0_trigger,,71,5.088027777777778,7.566666666666666,681,9000
1,1_trigger,,71,4.139111111111111,9.544444444444444,859,9000
2,2_trigger,,71,3.663435763888889,26.53333333333333,2388,9000
3,3_trigger,,71,3.841444878472222,24.57777777777778,2212,9000
4,4_trigger,,71,5.396292534722222,4.322222222222223,389,9000
5,5_trigger,,71,5.442183159722222,11.166666666666666,1005,9000
6,6_trigger,,71,4.6960390625,10.822222222222223,974,9000
7,7_trigger,,71,3.7064991319444442,15.944444444444445,1435,9000
8,8_trigger,,71,2.9049618055555557,27.911111111111108,2512,9000
9,9_trigger,,71,2.959515625,41.86666666666667,3768,9000
10,10_trigger,,71,4.303345052083333,24.288888888888888,2186,9000
11,11_trigger,,71,3.207041449652778,18.866666666666667,1698,9000
12,12_trigger,,71,4.008608072916667,16.233333333333334,1461,9000
13,13_trigger,,71,4.675414930555555,22.666666666666664,2040,9000
14,14_trigger,,71,5.425579861111111,12.622222222222224,1136,9000
15,15_trigger,,71,3.8278111979166667,17.68888888888889,1592,9000
16,16_trigger,,71,4.614566840277778,15.677777777777777,1411,9000
17,17_trigger,,71,6.278638888888889,24.77777777777778,2230,9000
18,18_trigger,,71,3.3878441840277778,19.511111111111113,1756,9000
19,19_trigger,,71,3.749133246527778,17.477777777777778,1573,9000
global,combine,,71,7.8175260416666665,3.3222222222222224,299,9000
global,global_in_0_trigger,,71,8.10433420138889,2.566666666666667,231,9000
global,global_in_1_trigger,,71,7.963127604166667,3.6999999999999997,333,9000
global,global_in_2_trigger,,71,8.117747395833334,2.422222222222222,218,9000
global,global_in_3_trigger,,71,7.817526909722222,3.3222222222222224,299,9000
global,global_in_4_trigger,,71,8.104333333333333,2.566666666666667,231,9000
global,global_in_5_trigger,,71,7.963128472222222,3.6999999999999997,333,9000
global,global_in_6_trigger,,71,8.117747395833334,2.422222222222222,218,9000
global,global_in_7_trigger,,71,7.817526909722222,3.3222222222222224,299,9000
global,global_in_8_trigger,,71,8.104331597222222,2.566666666666667,231,9000
global,global_in_9_trigger,,71,7.963128472222222,3.6999999999999997,333,9000
global,global_in_10_trigger,,71,8.117747395833334,2.422222222222222,218,9000
global,global_in_11_trigger,,71,7.817527777777777,3.3222222222222224,299,9000
global,global_in_12_trigger,,71,8.104333333333333,2.566666666666667,231,9000
global,global_in_13_trigger,,71,7.963128472222222,3.6999999999999997,333,9000
global,global_in_14_trigger,,71,8.117745659722223,2.422222222222222,218,9000
global,global_in_15_trigger,,71,7.817526909722222,3.3222222222222224,299,9000
global,global_in_16_trigger,,71,8.10433420138889,2.566666666666667,231,9000
global,global_in_17_trigger,,71,7.963129340277778,3.6999999999999997,333,9000
global,global_in_18_trigger,,71,8.117747395833334,2.422222222222222,218,9000
global,global_in_19_trigger,,71,7.817526909722222,3.3222222222222224,299,9000
0,0_trigger,,72,5.141875,2.3777777777777778,214,9000
1,1_trigger,,72,5.507788628472222,3.155555555555556,284,9000
2,2_trigger,,72,3.219564236111111,21.722222222222225,1955,9000
3,3_trigger,,72,3.785736979166667,9.577777777777778,862,9000
4,4_trigger,,72,5.495977864583334,1.3222222222222222,119,9000
5,5_trigger,,72,5.868015190972222,3.7777777777777777,340,9000
6,6_trigger,,72,4.633890625,6.233333333333333,561,9000
7,7_trigger,,72,4.655874565972222,7.033333333333333,633,9000
8,8_trigger,,72,4.738005208333333,17.822222222222223,1604,9000
9,9_trigger,,72,3.0538387586805555,31.788888888888888,2861,9000
10,10_trigger,,72,3.96462890625,12.977777777777778,1168,9000
11,11_trigger,,72,4.299163194444445,15.488888888888889,1394,9000
12,12_trigger,,72,4.242608506944444,9.455555555555556,851,9000
13,13_trigger,,72,6.0565546875,13.222222222222221,1190,9000
14,14_trigger,,72,4.158405381944444,7.666666666666666,690,9000
15,15_trigger,,72,5.447678385416666,12.744444444444444,1147,9000
16,16_trigger,,72,5.244265190972222,12.855555555555556,1157,9000
17,17_trigger,,72,4.9828637152777775,18.88888888888889,1700,9000
18,18_trigger,,72,4.643239149305556,7.222222222222221,650,9000
19,19_trigger,,72,4.7636440972222225,10.088888888888889,908,9000
global,combine,,72,7.9077795138888884,3.3666666666666663,303,9000
global,global_in_0_trigger,,72,8.205817708333333,2.5444444444444443,229,9000
global,global_in_1_trigger,,72,8.058667534722222,3.7666666666666666,339,9000
global,global_in_2_trigger,,72,8.220168402777778,2.4444444444444446,220,9000
global,global_in_3_trigger,,72,7.90778125,3.3666666666666663,303,9000
global,global_in_4_trigger,,72,8.205815972222222,2.5444444444444443,229,9000
global,global_in_5_trigger,,72,8.058668402777778,3.7666666666666666,339,9000
global,global_in_6_trigger,,72,8.220168402777778,2.4444444444444446,220,9000
global,global_in_7_trigger,,72,7.9077795138888884,3.3666666666666663,303,9000
global,global_in_8_trigger,,72,8.205817708333333,2.5444444444444443,229,9000
global,global_in_9_trigger,,72,8.058668402777778,3.7666666666666666,339,9000
global,global_in_10_trigger,,72,8.220168402777778,2.4444444444444446,220,9000
global,global_in_11_trigger,,72,7.90778125,3.3666666666666663,303,9000
global,global_in_12_trigger,,72,8.20581857638889,2.5444444444444443,229,9000
global,global_in_13_trigger,,72,8.058668402777778,3.7666666666666666,339,9000
global,global_in_14_trigger,,72,8.220169270833333,2.4444444444444446,220,9000
global,global_in_15_trigger,,72,7.907780381944445,3.3666666666666663,303,9000
global,global_in_16_trigger,,72,8.20581857638889,2.5444444444444443,229,9000
global,global_in_17_trigger,,72,8.058668402777778,3.7666666666666666,339,9000
global,global_in_18_trigger,,72,8.22017013888889,2.4444444444444446,220,9000
global,global_in_19_trigger,,72,7.9077795138888884,3.3666666666666663,303,9000
0,0_trigger,,73,5.107522569444445,2.488888888888889,224,9000
1,1_trigger,,73,5.411644097222222,2.7666666666666666,249,9000
2,2_trigger,,73,3.221412109375,31.822222222222223,2864,9000
3,3_trigger,,73,4.469314670138889,12.911111111111111,1162,9000
4,4_trigger,,73,5.830317708333333,1.1555555555555554,104,9000
5,5_trigger,,73,4.819408854166666,4.077777777777778,367,9000
6,6_trigger,,73,3.9197682291666665,4.288888888888889,386,9000
7,7_trigger,,73,4.6744040798611115,7.833333333333334,705,9000
8,8_trigger,,73,4.395750868055556,13.277777777777777,1195,9000
9,9_trigger,,73,3.195959418402778,35.32222222222222,3179,9000
10,10_trigger,,73,3.6129848090277776,15.422222222222222,1388,9000
11,11_trigger,,73,5.1007578125,7.855555555555556,707,9000
12,12_trigger,,73,3.809673611111111,8.911111111111111,802,9000
13,13_trigger,,73,6.419205729166666,11.511111111111111,1036,9000
14,14_trigger,,73,4.903229600694444,5.444444444444444,490,9000
15,15_trigger,,73,4.491389756944445,13.822222222222221,1244,9000
16,16_trigger,,73,4.123401041666667,10.7,963,9000
17,17_trigger,,73,4.4980542534722225,19.2,1728,9000
18,18_trigger,,73,5.1498025173611115,8.244444444444445,742,9000
19,19_trigger,,73,4.656715277777778,9.277777777777779,835,9000
global,combine,,73,7.991333333333333,3.3777777777777773,304,9000
global,global_in_0_trigger,,73,8.295645833333333,2.555555555555556,230,9000
global,global_in_1_trigger,,73,8.145138888888889,3.722222222222222,335,9000
global,global_in_2_trigger,,73,8.31015625,2.422222222222222,218,9000
global,global_in_3_trigger,,73,7.991333333333333,3.3777777777777773,304,9000
global,global_in_4_trigger,,73,8.295647569444444,2.555555555555556,230,9000
global,global_in_5_trigger,,73,8.145139756944445,3.722222222222222,335,9000
global,global_in_6_trigger,,73,8.31015625,2.422222222222222,218,9000
global,global_in_7_trigger,,73,7.991334201388889,3.3777777777777773,304,9000
global,global_in_8_trigger,,73,8.295645833333333,2.555555555555556,230,9000
global,global_in_9_trigger,,73,8.145138020833333,3.722222222222222,335,9000
global,global_in_10_trigger,,73,8.31015625,2.422222222222222,218,9000
global,global_in_11_trigger,,73,7.991333333333333,3.3777777777777773,304,9000
global,global_in_12_trigger,,73,8.29564670138889,2.555555555555556,230,9000
global,global_in_13_trigger,,73,8.145138888888889,3.722222222222222,335,9000
global,global_in_14_trigger,,73,8.31015625,2.422222222222222,218,9000
global,global_in_15_trigger,,73,7.991334201388889,3.3777777777777773,304,9000
global,global_in_16_trigger,,73,8.29564670138889,2.555555555555556,230,9000
global,global_in_17_trigger,,73,8.145139756944445,3.722222222222222,335,9000
global,global_in_18_trigger,,73,8.31015625,2.422222222222222,218,9000
global,global_in_19_trigger,,73,7.991334201388889,3.3777777777777773,304,9000
0,0_trigger,,74,4.99025,3.111111111111111,280,9000
1,1_trigger,,74,5.21271875,3.4555555555555553,311,9000
2,2_trigger,,74,3.890576388888889,24.4,2196,9000
3,3_trigger,,74,4.985339409722222,10.866666666666665,978,9000
4,4_trigger,,74,5.715113715277778,1.3222222222222222,119,9000
5,5_trigger,,74,5.670668836805556,5.577777777777778,502,9000
6,6_trigger,,74,4.230045572916667,3.988888888888889,359,9000
7,7_trigger,,74,6.228213107638889,6.488888888888889,584,9000
8,8_trigger,,74,3.009400607638889,19.822222222222223,1784,9000
9,9_trigger,,74,2.331994357638889,36.37777777777777,3274,9000
10,10_trigger,,74,4.559956163194444,16.355555555555558,1472,9000
11,11_trigger,,74,4.234666666666667,11.633333333333333,1047,9000
12,12_trigger,,74,3.94344140625,9.866666666666667,888,9000
13,13_trigger,,74,4.893217013888889,9.033333333333333,813,9000
14,14_trigger,,74,4.72953125,5.022222222222222,452,9000
15,15_trigger,,74,4.648344184027778,11.933333333333334,1074,9000
16,16_trigger,,74,4.474136284722222,11.522222222222222,1037,9000
17,17_trigger,,74,3.842473958333333,15.4,1386,9000
18,18_trigger,,74,5.414120659722222,7.233333333333333,651,9000
19,19_trigger,,74,4.350091579861111,8.166666666666666,735,9000
global,combine,,74,8.052551215277777,3.3888888888888893,305,9000
global,global_in_0_trigger,,74,8.362901041666667,2.566666666666667,231,9000
global,global_in_1_trigger,,74,8.209426215277778,3.733333333333334,336,9000
global,global_in_2_trigger,,74,8.37753732638889,2.466666666666667,222,9000
global,global_in_3_trigger,,74,8.052550347222223,3.3888888888888893,305,9000
global,global_in_4_trigger,,74,8.362901041666667,2.566666666666667,231,9000
global,global_in_5_trigger,,74,8.209425347222222,3.733333333333334,336,9000
global,global_in_6_trigger,,74,8.377538194444444,2.466666666666667,222,9000
global,global_in_7_trigger,,74,8.052551215277777,3.3888888888888893,305,9000
global,global_in_8_trigger,,74,8.362901041666667,2.566666666666667,231,9000
global,global_in_9_trigger,,74,8.209426215277778,3.733333333333334,336,9000
global,global_in_10_trigger,,74,8.377538194444444,2.466666666666667,222,9000
global,global_in_11_trigger,,74,8.052551215277777,3.3888888888888893,305,9000
global,global_in_12_trigger,,74,8.362901909722222,2.566666666666667,231,9000
global,global_in_13_trigger,,74,8.209426215277778,3.733333333333334,336,9000
global,global_in_14_trigger,,74,8.3775390625,2.466666666666667,222,9000
global,global_in_15_trigger,,74,8.052551215277777,3.3888888888888893,305,9000
global,global_in_16_trigger,,74,8.362901909722222,2.566666666666667,231,9000
global,global_in_17_trigger,,74,8.209425347222222,3.733333333333334,336,9000
global,global_in_18_trigger,,74,8.377536458333333,2.466666666666667,222,9000
global,global_in_19_trigger,,74,8.052552083333333,3.3888888888888893,305,9000
0,0_trigger,,75,4.694303385416666,6.7333333333333325,606,9000
1,1_trigger,,75,5.097633680555556,2.5,225,9000
2,2_trigger,,75,2.758507595486111,37.58888888888889,3383,9000
3,3_trigger,,75,5.418487413194445,6.044444444444444,544,9000
4,4_trigger,,75,6.1512421875,1.0888888888888888,98,9000
5,5_trigger,,75,6.789291666666666,3.5555555555555554,320,9000
6,6_trigger,,75,4.786659722222222,5.511111111111111,496,9000
7,7_trigger,,75,4.823665364583333,6.433333333333334,579,9000
8,8_trigger,,75,3.0856905381944446,28.566666666666666,2571,9000
9,9_trigger,,75,2.512666015625,29.188888888888886,2627,9000
10,10_trigger,,75,5.1254748263888885,11.877777777777778,1069,9000
11,11_trigger,,75,4.968032118055556,9.233333333333334,831,9000
12,12_trigger,,75,4.256822048611111,14.966666666666667,1347,9000
13,13_trigger,,75,6.301973524305556,11.855555555555556,1067,9000
14,14_trigger,,75,4.931735677083333,7.544444444444444,679,9000
15,15_trigger,,75,3.4808289930555554,15.555555555555555,1400,9000
16,16_trigger,,75,4.632703993055555,12.322222222222221,1109,9000
17,17_trigger,,75,5.134065104166667,13.900000000000002,1251,9000
18,18_trigger,,75,5.201603732638889,7.1,639,9000
19,19_trigger,,75,4.727670138888889,11.555555555555555,1040,9000
global,combine,,75,8.107291666666667,3.3777777777777773,304,9000
global,global_in_0_trigger,,75,8.422741319444444,2.566666666666667,231,9000
global,global_in_1_trigger,,75,8.2670078125,3.6888888888888887,332,9000
global,global_in_2_trigger,,75,8.43771875,2.488888888888889,224,9000
global,global_in_3_trigger,,75,8.10729079861111,3.3777777777777773,304,9000
global,global_in_4_trigger,,75,8.422741319444444,2.566666666666667,231,9000
global,global_in_5_trigger,,75,8.267009548611112,3.6888888888888887,332,9000
global,global_in_6_trigger,,75,8.437717881944444,2.488888888888889,224,9000
global,global_in_7_trigger,,75,8.107292534722223,3.3777777777777773,304,9000
global,global_in_8_trigger,,75,8.422741319444444,2.566666666666667,231,9000
global,global_in_9_trigger,,75,8.267009548611112,3.6888888888888887,332,9000
global,global_in_10_trigger,,75,8.43771875,2.488888888888889,224,9000
global,global_in_11_trigger,,75,8.107292534722223,3.3777777777777773,304,9000
global,global_in_12_trigger,,75,8.422739583333334,2.566666666666667,231,9000
global,global_in_13_trigger,,75,8.267010416666666,3.6888888888888887,332,9000
global,global_in_14_trigger,,75,8.43771875,2.488888888888889,224,9000
global,global_in_15_trigger,,75,8.107293402777778,3.3777777777777773,304,9000
global,global_in_16_trigger,,75,8.422740451388888,2.566666666666667,231,9000
global,global_in_17_trigger,,75,8.267010416666666,3.6888888888888887,332,9000
global,global_in_18_trigger,,75,8.43771875,2.488888888888889,224,9000
global,global_in_19_trigger,,75,8.10729079861111,3.3777777777777773,304,9000
0,0_trigger,,76,5.013720920138889,3.355555555555555,302,9000
1,1_trigger,,76,5.3142521701388885,3.2,288,9000
2,2_trigger,,76,3.684883246527778,29.299999999999997,2637,9000
3,3_trigger,,76,5.140822048611111,11.700000000000001,1053,9000
4,4_trigger,,76,5.3839014756944445,1.3111111111111111,118,9000
5,5_trigger,,76,5.337061631944445,4.444444444444445,400,9000
6,6_trigger,,76,3.9210460069444446,4.5,405,9000
7,7_trigger,,76,4.246398871527778,7.9222222222222225,713,9000
8,8_trigger,,76,4.044944010416667,14.722222222222223,1325,9000
9,9_trigger,,76,3.302302083333333,22.977777777777778,2068,9000
10,10_trigger,,76,3.823529513888889,11.4,1026,9000
11,11_trigger,,76,4.7373203125,8.866666666666667,798,9000
12,12_trigger,,76,4.5700190972222225,7.211111111111111,649,9000
13,13_trigger,,76,6.340444010416666,13.055555555555557,1175,9000
14,14_trigger,,76,5.092675347222222,6.066666666666666,546,9000
15,15_trigger,,76,5.579234375,10.177777777777777,916,9000
16,16_trigger,,76,4.001668836805556,13.133333333333333,1182,9000
17,17_trigger,,76,4.4183302951388885,14.522222222222222,1307,9000
18,18_trigger,,76,4.168990017361111,9.822222222222223,884,9000
