model,epoch,average_loss,accuracy,correct_data,total_data
0,71,7.208279079861111,3.011111111111111,271,9000
0,71,4.619682725694444,9.577777777777778,862,9000
1,71,6.979633680555556,3.5888888888888886,323,9000
1,71,3.989106770833333,9.355555555555556,842,9000
2,71,7.0885234375,4.944444444444445,445,9000
2,71,3.31225390625,28.988888888888887,2609,9000
3,71,6.941687065972222,4.077777777777778,367,9000
3,71,3.8414444444444444,24.57777777777778,2212,9000
4,71,7.1431931423611115,3.3111111111111113,298,9000
4,71,5.001733940972223,4.555555555555555,410,9000
5,71,7.294611111111111,3.3888888888888893,305,9000
5,71,5.264405381944444,11.044444444444444,994,9000
6,71,7.005167100694444,3.9555555555555553,356,9000
6,71,4.370555555555556,12.933333333333334,1164,9000
7,71,7.089170572916666,3.6666666666666665,330,9000
7,71,3.7064991319444442,15.944444444444445,1435,9000
8,71,6.758197916666667,4.877777777777778,439,9000
8,71,2.645024956597222,30.555555555555557,2750,9000
9,71,6.674402777777778,4.822222222222222,434,9000
9,71,2.844787326388889,44.9,4041,9000
10,71,6.870594618055556,5.3,477,9000
10,71,4.056409288194445,29.07777777777778,2617,9000
11,71,6.935861545138889,4.2,378,9000
11,71,3.207041015625,18.866666666666667,1698,9000
12,71,6.95209375,4.666666666666667,420,9000
12,71,3.7349526909722224,17.87777777777778,1609,9000
13,71,7.344885416666667,4.311111111111112,388,9000
13,71,4.415912326388889,23.133333333333333,2082,9000
14,71,7.205404947916667,3.733333333333334,336,9000
14,71,5.0454609375,14.18888888888889,1277,9000
15,71,7.068155381944444,4.5,405,9000
15,71,3.8278103298611112,17.68888888888889,1592,9000
16,71,7.065474826388889,4.4111111111111105,397,9000
16,71,4.376180121527778,15.733333333333333,1416,9000
17,71,7.361683159722222,4.488888888888889,404,9000
17,71,6.050852864583334,24.41111111111111,2197,9000
18,71,6.856612413194444,4.2444444444444445,382,9000
18,71,3.070156032986111,24.96666666666667,2247,9000
19,71,6.9740564236111116,4.2,378,9000
19,71,3.749133246527778,17.477777777777778,1573,9000
global,71,7.8175260416666665,3.3222222222222224,299,9000
0,72,7.266021701388889,2.933333333333333,264,9000
0,72,4.774517795138889,3.2444444444444445,292,9000
1,72,7.318697916666666,3.355555555555555,302,9000
1,72,5.378532552083334,3.1333333333333333,282,9000
2,72,7.041637152777778,4.7555555555555555,428,9000
2,72,2.836810112847222,25.677777777777777,2311,9000
3,72,6.9577890625,4.044444444444444,364,9000
3,72,3.785736979166667,9.577777777777778,862,9000
4,72,7.205239149305555,3.111111111111111,280,9000
4,72,5.144075086805556,1.9444444444444444,175,9000
5,72,7.3756458333333335,3.2444444444444445,292,9000
5,72,5.7476232638888884,4.022222222222222,362,9000
6,72,6.979730034722222,3.922222222222222,353,9000
6,72,4.327421875,8.811111111111112,793,9000
7,72,7.232,3.5777777777777775,322,9000
7,72,4.655875,7.033333333333333,633,9000
8,72,7.1754670138888885,4.811111111111111,433,9000
8,72,4.424635416666667,19.944444444444446,1795,9000
9,72,6.735852864583333,4.7555555555555555,428,9000
9,72,2.9407447916666665,34.22222222222222,3080,9000
10,72,6.9311388888888885,5.044444444444444,454,9000
10,72,3.7448125,13.222222222222221,1190,9000
11,72,7.0841050347222225,4.0888888888888895,368,9000
11,72,4.299163628472222,15.488888888888889,1394,9000
12,72,7.042694010416667,4.544444444444444,409,9000
12,72,3.9669053819444446,10.655555555555555,959,9000
13,72,7.473829861111111,4.188888888888889,377,9000
13,72,5.8244340277777775,12.866666666666667,1158,9000
14,72,6.906522135416667,3.6888888888888887,332,9000
14,72,3.822612847222222,9.588888888888889,863,9000
15,72,7.414775173611111,4.488888888888889,404,9000
15,72,5.447677517361111,12.744444444444444,1147,9000
16,72,7.247674479166666,4.522222222222222,407,9000
16,72,5.02712109375,13.78888888888889,1241,9000
17,72,7.271098524305556,4.466666666666667,402,9000
17,72,4.815273871527777,17.988888888888887,1619,9000
18,72,7.060200086805556,4.066666666666666,366,9000
18,72,4.32398828125,10.28888888888889,926,9000
19,72,7.240099392361111,4.144444444444444,373,9000
19,72,4.763643229166667,10.088888888888889,908,9000
global,72,7.9077795138888884,3.3666666666666663,303,9000
0,73,7.284636284722223,3.011111111111111,271,9000
0,73,4.715809461805556,3.3666666666666663,303,9000
1,73,7.327444444444445,3.3888888888888893,305,9000
1,73,5.286981770833333,2.9000000000000004,261,9000
2,73,7.0742421875,4.8,432,9000
2,73,2.9371879340277776,38.48888888888889,3464,9000
3,73,7.058520399305555,3.8777777777777778,349,9000
3,73,4.469313802083334,12.911111111111111,1162,9000
4,73,7.3400625,3.255555555555555,293,9000
4,73,5.508075520833334,1.633333333333333,147,9000
5,73,7.134315104166666,3.3000000000000003,297,9000
5,73,4.716969618055556,5.222222222222222,470,9000
6,73,6.723986111111111,3.6999999999999997,333,9000
6,73,3.574539279513889,6.588888888888889,593,9000
7,73,7.2665963541666665,3.4666666666666663,312,9000
7,73,4.674403645833333,7.833333333333334,705,9000
8,73,7.121966145833333,4.644444444444444,418,9000
8,73,4.107160590277778,15.022222222222222,1352,9000
9,73,6.758227864583334,4.7,423,9000
9,73,3.1043834635416667,36.81111111111111,3313,9000
10,73,6.907846354166667,5.055555555555555,455,9000
10,73,3.357775824652778,18.188888888888886,1637,9000
11,73,7.349216145833333,3.944444444444444,355,9000
